rgb,r,g,b,Label
"199,157,41",199,157,41,brightYellow
"228, 214, 187",228,214,187,brightYellow
"178,151,95",178,151,95,brightYellow
"202,161,53",202,161,53,brightYellow
"202,158,45",202,158,45,brightYellow
"201,155,35",201,155,35,brightYellow
"133,39,26",133,39,26,brightRed
"148,35,11",148,35,11,brightRed
"115,18,2",115,18,2,brightRed
"151,30,11",151,30,11,brightRed
"107,18,3",107,18,3,brightRed
"162,175,201",162,175,201,brightBlue
"106,152,193",106,152,193,brightBlue
"0,64,138",0,64,138,brightBlue
"0,59,129",0,59,129,brightBlue
"0,59,129",0,59,129,brightBlue
"136,28,7",136,28,7,brightRed
"145,30,9",145,30,9,brightRed
"149,29,7",149,29,7,brightRed
"159,37,18",159,37,18,brightRed
"113,15,3",113,15,3,brightRed
"201,159,39",201,159,39,brightYellow
"198,135,24",198,135,24,brightYellow
"181,117,19",181,117,19,brightYellow
"224,215,196",224,215,196,brightYellow
"196,136,44",196,136,44,brightYellow
"0,25,81",0,25,81,brightBlue
"0,24,82",0,24,82,brightBlue
"0,29,86",0,29,86,brightBlue
"3,45,101",3,45,101,brightBlue
"57,92,131",57,92,131,brightBlue
"201,184,147",201,184,147,brightYellow
"191,154,101",191,154,101,brightYellow
"197,173,111",197,173,111,brightYellow
"199,138,44",199,138,44,brightYellow
"190,146,46",190,146,46,brightYellow
"147,28,6",147,28,6,brightRed
"146,31,10",146,31,10,brightRed
"145,28,10",145,28,10,brightRed
"157,37,18",157,37,18,brightRed
"153,51,41",153,51,41,brightRed
"1,60,138",1,60,138,brightBlue
"0,61,141",0,61,141,brightBlue
"4,26,90",4,26,90,brightBlue
"0,26,83",0,26,83,brightBlue
"2,61,138",2,61,138,brightBlue
"185,109,0",185,109,0,brightYellow
"187,121,21",187,121,21,brightYellow
"194,157,74",194,157,74,brightYellow
"196,154,45",196,154,45,brightYellow
"148,94,6",148,94,6,brightYellow
"157,36,17",157,36,17,brightRed
"153,31,7",153,31,7,brightRed
"153,31,10",153,31,10,brightRed
"142,27,4",142,27,4,brightRed
"145,94,95",145,94,95,brightRed
"175,210,240",175,210,240,brightBlue
"143,182,212",143,182,212,brightBlue
"0,25,79",0,25,79,brightBlue
"0,59,137",0,59,137,brightBlue
"0,59,137",0,59,137,brightBlue
"0,62,143",0,62,143,brightBlue
"155,34,15",155,34,15,brightRed
"153,32,13",153,32,13,brightRed
"121,23,4",121,23,4,brightRed
"105,18,2",105,18,2,brightRed
"164,39,17",164,39,17,brightRed
"185,146,89",185,146,89,brightYellow
"255,252,235",255,252,235,brightYellow
"255,252,212",255,252,212,brightYellow
"195,154,50",195,154,50,brightYellow
"196,154,46",196,154,46,brightYellow
