rgb,r,g,b,Label
"222,169,0",222,169,0,brightYellow
"208,151,0",208,151,0,brightYellow
"232,173,0",232,173,0,brightYellow
"214,158,2",214,158,2,brightYellow
"210,157,1",210,157,1,brightYellow
"201,155,35",201,155,35,brightYellow
"203,149,0",203,149,0,brightYellow
"229,178,0",229,178,0,brightYellow
"206,156,0",206,156,0,brightYellow
"171,20,0",171,20,0,brightRed
"169,17,0",169,17,0,brightRed
"175,16,0",175,16,0,brightRed
"159,18,1",159,18,1,brightRed
"177,18,0",177,18,0,brightRed
"172,17,0",172,17,0,brightRed
"189,20,0",189,20,0,brightRed
"175,18,2",175,18,2,brightRed
"0,69,160",0,69,160,brightBlue
"4,64,151",4,64,151,brightBlue
"1,67,165",1,67,165,brightBlue
"0,64,154",0,64,154,brightBlue
"0,63,151",0,63,151,brightBlue
"0,61,147",0,61,147,brightBlue
"1,65,155",1,65,155,brightBlue
"0,70,160",0,70,160,brightBlue
"222,169,0",222,169,0,brightYellow
"208,151,0",208,151,0,brightYellow
"232,173,0",232,173,0,brightYellow
"214,158,2",214,158,2,brightYellow
"210,157,1",210,157,1,brightYellow
"201,155,35",201,155,35,brightYellow
"203,149,0",203,149,0,brightYellow
"229,178,0",229,178,0,brightYellow
"206,156,0",206,156,0,brightYellow
"171,20,0",171,20,0,brightRed
"169,17,0",169,17,0,brightRed
"175,16,0",175,16,0,brightRed
"159,18,1",159,18,1,brightRed
"177,18,0",177,18,0,brightRed
"172,17,0",172,17,0,brightRed
"189,20,0",189,20,0,brightRed
"175,18,2",175,18,2,brightRed
"0,69,160",0,69,160,brightBlue
"4,64,151",4,64,151,brightBlue
"1,67,165",1,67,165,brightBlue
"0,64,154",0,64,154,brightBlue
"0,63,151",0,63,151,brightBlue
"0,61,147",0,61,147,brightBlue
"1,65,155",1,65,155,brightBlue
"0,70,160",0,70,160,brightBlue
"222,169,0",222,169,0,brightYellow
"208,151,0",208,151,0,brightYellow
"232,173,0",232,173,0,brightYellow
"214,158,2",214,158,2,brightYellow
"210,157,1",210,157,1,brightYellow
"201,155,35",201,155,35,brightYellow
"203,149,0",203,149,0,brightYellow
"229,178,0",229,178,0,brightYellow
"206,156,0",206,156,0,brightYellow
"171,20,0",171,20,0,brightRed
"169,17,0",169,17,0,brightRed
"175,16,0",175,16,0,brightRed
"159,18,1",159,18,1,brightRed
"177,18,0",177,18,0,brightRed
"172,17,0",172,17,0,brightRed
"189,20,0",189,20,0,brightRed
"175,18,2",175,18,2,brightRed
"0,69,160",0,69,160,brightBlue
"4,64,151",4,64,151,brightBlue
"1,67,165",1,67,165,brightBlue
"0,64,154",0,64,154,brightBlue
"0,63,151",0,63,151,brightBlue
"0,61,147",0,61,147,brightBlue
"1,65,155",1,65,155,brightBlue
"0,70,160",0,70,160,brightBlue
"222,169,0",222,169,0,brightYellow
"208,151,0",208,151,0,brightYellow
"232,173,0",232,173,0,brightYellow
"214,158,2",214,158,2,brightYellow
"210,157,1",210,157,1,brightYellow
"201,155,35",201,155,35,brightYellow
"203,149,0",203,149,0,brightYellow
"229,178,0",229,178,0,brightYellow
"206,156,0",206,156,0,brightYellow
"171,20,0",171,20,0,brightRed
"169,17,0",169,17,0,brightRed
"175,16,0",175,16,0,brightRed
"159,18,1",159,18,1,brightRed
"177,18,0",177,18,0,brightRed
"172,17,0",172,17,0,brightRed
"189,20,0",189,20,0,brightRed
"175,18,2",175,18,2,brightRed
"0,69,160",0,69,160,brightBlue
"4,64,151",4,64,151,brightBlue
"1,67,165",1,67,165,brightBlue
"0,64,154",0,64,154,brightBlue
"0,63,151",0,63,151,brightBlue
"0,61,147",0,61,147,brightBlue
"1,65,155",1,65,155,brightBlue
"0,70,160",0,70,160,brightBlue
