rgb,r,g,b,Label
"205,151,0",205,151,0,brightYellow
"200,143,1",200,143,1,brightYellow
"200,145,3",200,145,3,brightYellow
"176,100,5",176,100,5,brightYellow
"190,135,2",190,135,2,brightYellow
"195,139,1",195,139,1,brightYellow
"194,138,0",194,138,0,brightYellow
"190,136,2",190,136,2,brightYellow
"205,152,0",205,152,0,brightYellow
"197,140,1",197,140,1,brightYellow
"199,144,0",199,144,0,brightYellow
"193,144,1",193,144,1,brightYellow
"190,139,0",190,139,0,brightYellow
"216,164,3",216,164,3,brightYellow
"197,142,0",197,142,0,brightYellow
"204,148,1",204,148,1,brightYellow
"194,138,0",194,138,0,brightYellow
"200,148,3",200,148,3,brightYellow
"197,146,2",197,146,2,brightYellow
"183,131,0",183,131,0,brightYellow
"195,141,0",195,141,0,brightYellow
"211,158,1",211,158,1,brightYellow
"212,158,0",212,158,0,brightYellow
"192,136,0",192,136,0,brightYellow
"180,94,0",180,94,0,brightYellow
"177,97,0",177,97,0,brightYellow
"204,152,0",204,152,0,brightYellow
"200,150,1",200,150,1,brightYellow
"105,112,40",105,112,40,brightYellow
"207,155,1",207,155,1,brightYellow
"210,156,0",210,156,0,brightYellow
"211,156,1",211,156,1,brightYellow
"179,90,1",179,90,1,brightYellow
"202,154,3",202,154,3,brightYellow
"179,90,1",179,90,1,brightYellow
"205,156,1",205,156,1,brightYellow
"205,154,0",205,154,0,brightYellow
"169,88,0",169,88,0,brightYellow
"196,117,0",196,117,0,brightYellow
"204,132,9",204,132,9,brightYellow
"200,157,0",200,157,0,brightYellow
"194,142,0",194,142,0,brightYellow
"199,150,4",199,150,4,brightYellow
"210,156,0",210,156,0,brightYellow
"211,159,0",211,159,0,brightYellow
"214,162,1",214,162,1,brightYellow
"205,151,0",205,151,0,brightYellow
"200,143,1",200,143,1,brightYellow
"200,145,3",200,145,3,brightYellow
"176,100,5",176,100,5,brightYellow
"190,135,2",190,135,2,brightYellow
"195,139,1",195,139,1,brightYellow
"194,138,0",194,138,0,brightYellow
"190,136,2",190,136,2,brightYellow
"205,152,0",205,152,0,brightYellow
"197,140,1",197,140,1,brightYellow
"199,144,0",199,144,0,brightYellow
"193,144,1",193,144,1,brightYellow
"190,139,0",190,139,0,brightYellow
"216,164,3",216,164,3,brightYellow
"197,142,0",197,142,0,brightYellow
"204,148,1",204,148,1,brightYellow
