rgb,r,g,b,Label
"135,16,0",135,16,0,brightRed
"161,17,1",161,17,1,brightRed
"157,16,0",157,16,0,brightRed
"119,12,0",119,12,0,brightRed
"113,10,0",113,10,0,brightRed
"166,18,0",166,18,0,brightRed
"159,17,2",159,17,2,brightRed
"116,12,3",116,12,3,brightRed
"106,12,0",106,12,0,brightRed
"159,18,0",159,18,0,brightRed
"169,25,0",169,25,0,brightRed
"113,20,4",113,20,4,brightRed
"174,25,3",174,25,3,brightRed
"127,15,3",127,15,3,brightRed
"170,18,0",170,18,0,brightRed
"148,17,0",148,17,0,brightRed
"149,14,0",149,14,0,brightRed
"148,17,0",148,17,0,brightRed
"142,17,0",142,17,0,brightRed
"135,15,1",135,15,1,brightRed
"175,20,0",175,20,0,brightRed
"111,9,0",111,9,0,brightRed
"127,22,10",127,22,10,brightRed
"160,20,0",160,20,0,brightRed
"122,9,0",122,9,0,brightRed
"174,28,4",174,28,4,brightRed
"155,17,0",155,17,0,brightRed
"122,21,12",122,21,12,brightRed
"164,17,2",164,17,2,brightRed
"116,11,0",116,11,0,brightRed
"148,16,1",148,16,1,brightRed
"101,10,0",101,10,0,brightRed
"142,15,0",142,15,0,brightRed
"140,17,1",140,17,1,brightRed
"138,12,0",138,12,0,brightRed
"137,17,0",137,17,0,brightRed
"174,25,2",174,25,2,brightRed
"176,22,1",176,22,1,brightRed
"131,16,3",131,16,3,brightRed
"169,21,1",169,21,1,brightRed
"114,14,1",114,14,1,brightRed
"115,10,0",115,10,0,brightRed
"164,19,0",164,19,0,brightRed
"129,16,0",129,16,0,brightRed
"171,18,0",171,18,0,brightRed
"148,20,1",148,20,1,brightRed
"146,19,0",146,19,0,brightRed
"146,19,2",146,19,2,brightRed
"139,16,0",139,16,0,brightRed
"101,9,0",101,9,0,brightRed
"168,20,0",168,20,0,brightRed
"183,26,0",183,26,0,brightRed
"150,20,5",150,20,5,brightRed
"101,9,0",101,9,0,brightRed
"163,17,0",163,17,0,brightRed
"171,17,1",171,17,1,brightRed
"159,16,1",159,16,1,brightRed
"148,15,0",148,15,0,brightRed
"148,16,0",148,16,0,brightRed
"151,18,2",151,18,2,brightRed
"143,15,1",143,15,1,brightRed
"137,14,0",137,14,0,brightRed
"167,19,0",167,19,0,brightRed
"165,17,0",165,17,0,brightRed
"172,23,3",172,23,3,brightRed
"177,26,1",177,26,1,brightRed
"123,11,0",123,11,0,brightRed
"133,27,11",133,27,11,brightRed
"179,26,3",179,26,3,brightRed
"160,15,0",160,15,0,brightRed
"103,2,0",103,2,0,brightRed
"103,2,0",103,2,0,brightRed
"134,20,4",134,20,4,brightRed
"149,19,1",149,19,1,brightRed
"160,16,0",160,16,0,brightRed
"110,14,0",110,14,0,brightRed
"99,9,0",99,9,0,brightRed
"115,10,0",115,10,0,brightRed
"138,16,3",138,16,3,brightRed
"168,22,3",168,22,3,brightRed
"172,17,3",172,17,3,brightRed
"103,7,0",103,7,0,brightRed
"115,16,10",115,16,10,brightRed
"166,20,0",166,20,0,brightRed
"169,17,0",169,17,0,brightRed
"173,24,4",173,24,4,brightRed
"122,14,2",122,14,2,brightRed
"177,22,0",177,22,0,brightRed
"164,17,1",164,17,1,brightRed
"163,18,0",163,18,0,brightRed
"135,16,0",135,16,0,brightRed
"161,17,1",161,17,1,brightRed
"157,16,0",157,16,0,brightRed
"119,12,0",119,12,0,brightRed
"113,10,0",113,10,0,brightRed
"166,18,0",166,18,0,brightRed
"159,17,2",159,17,2,brightRed
"116,12,3",116,12,3,brightRed
"106,12,0",106,12,0,brightRed
"159,18,0",159,18,0,brightRed
"169,25,0",169,25,0,brightRed
"113,20,4",113,20,4,brightRed
"174,25,3",174,25,3,brightRed
"127,15,3",127,15,3,brightRed
"170,18,0",170,18,0,brightRed
"148,17,0",148,17,0,brightRed
"149,14,0",149,14,0,brightRed
"148,17,0",148,17,0,brightRed
"142,17,0",142,17,0,brightRed
"135,15,1",135,15,1,brightRed
"175,20,0",175,20,0,brightRed
"111,9,0",111,9,0,brightRed
"127,22,10",127,22,10,brightRed
"160,20,0",160,20,0,brightRed
"122,9,0",122,9,0,brightRed
"174,28,4",174,28,4,brightRed
"155,17,0",155,17,0,brightRed
"122,21,12",122,21,12,brightRed
"164,17,2",164,17,2,brightRed
"116,11,0",116,11,0,brightRed
"148,16,1",148,16,1,brightRed
"101,10,0",101,10,0,brightRed
"142,15,0",142,15,0,brightRed
"140,17,1",140,17,1,brightRed
"138,12,0",138,12,0,brightRed
"137,17,0",137,17,0,brightRed
"174,25,2",174,25,2,brightRed
"176,22,1",176,22,1,brightRed
"131,16,3",131,16,3,brightRed
"169,21,1",169,21,1,brightRed
"114,14,1",114,14,1,brightRed
"115,10,0",115,10,0,brightRed
"164,19,0",164,19,0,brightRed
"129,16,0",129,16,0,brightRed
"171,18,0",171,18,0,brightRed
"148,20,1",148,20,1,brightRed
"146,19,0",146,19,0,brightRed
"146,19,2",146,19,2,brightRed
"139,16,0",139,16,0,brightRed
"101,9,0",101,9,0,brightRed
"168,20,0",168,20,0,brightRed
"183,26,0",183,26,0,brightRed
"150,20,5",150,20,5,brightRed
"101,9,0",101,9,0,brightRed
"163,17,0",163,17,0,brightRed
"171,17,1",171,17,1,brightRed
"159,16,1",159,16,1,brightRed
"148,15,0",148,15,0,brightRed
"148,16,0",148,16,0,brightRed
"151,18,2",151,18,2,brightRed
"143,15,1",143,15,1,brightRed
"137,14,0",137,14,0,brightRed
"167,19,0",167,19,0,brightRed
"165,17,0",165,17,0,brightRed
"172,23,3",172,23,3,brightRed
"177,26,1",177,26,1,brightRed
"123,11,0",123,11,0,brightRed
"133,27,11",133,27,11,brightRed
"179,26,3",179,26,3,brightRed
"160,15,0",160,15,0,brightRed
"103,2,0",103,2,0,brightRed
"103,2,0",103,2,0,brightRed
"134,20,4",134,20,4,brightRed
"149,19,1",149,19,1,brightRed
"160,16,0",160,16,0,brightRed
"110,14,0",110,14,0,brightRed
"99,9,0",99,9,0,brightRed
"115,10,0",115,10,0,brightRed
"138,16,3",138,16,3,brightRed
"168,22,3",168,22,3,brightRed
"172,17,3",172,17,3,brightRed
"103,7,0",103,7,0,brightRed
"115,16,10",115,16,10,brightRed
"166,20,0",166,20,0,brightRed
"169,17,0",169,17,0,brightRed
"173,24,4",173,24,4,brightRed
"122,14,2",122,14,2,brightRed
"177,22,0",177,22,0,brightRed
"164,17,1",164,17,1,brightRed
"163,18,0",163,18,0,brightRed
"124,14,1",124,14,1,brightRed
"166,16,0",166,16,0,brightRed
"118,14,1",118,14,1,brightRed
"118,14,1",118,14,1,brightRed
"165,16,1",165,16,1,brightRed
"122,21,8",122,21,8,brightRed
"122,21,8",122,21,8,brightRed
"122,21,8",122,21,8,brightRed
"111,9,0",111,9,0,brightRed
"118,13,1",118,13,1,brightRed
"118,13,1",118,13,1,brightRed
"160,17,0",160,17,0,brightRed
"112,13,0",112,13,0,brightRed
"130,9,0",130,9,0,brightRed
"143,16,1",143,16,1,brightRed
"162,16,0",162,16,0,brightRed
"105,9,1",105,9,1,brightRed
"114,11,2",114,11,2,brightRed
"109,11,3",109,11,3,brightRed
"125,16,4",125,16,4,brightRed
"182,18,0",182,18,0,brightRed
"166,18,1",166,18,1,brightRed
"170,21,1",170,21,1,brightRed
"123,12,2",123,12,2,brightRed
"98,7,0",98,7,0,brightRed
"149,20,0",149,20,0,brightRed
"98,9,0",98,9,0,brightRed
"173,21,0",173,21,0,brightRed
"43,64,5",43,64,5,brightGreen
"115,128,10",115,128,10,brightGreen
"51,68,1",51,68,1,brightGreen
"101,120,26",101,120,26,brightGreen
"101,119,9",101,119,9,brightGreen
"109,131,22",109,131,22,brightGreen
"102,129,24",102,129,24,brightGreen
"112,131,11",112,131,11,brightGreen
"64,93,25",64,93,25,brightGreen
"40,70,9",40,70,9,brightGreen
"38,60,3",38,60,3,brightGreen
"106,120,7",106,120,7,brightGreen
"98,109,2",98,109,2,brightGreen
"109,136,20",109,136,20,brightGreen
"100,127,14",100,127,14,brightGreen
"104,127,11",104,127,11,brightGreen
"39,64,8",39,64,8,brightGreen
"24,54,3",24,54,3,brightGreen
"105,127,11",105,127,11,brightGreen
"21,47,2",21,47,2,brightGreen
"113,124,12",113,124,12,brightGreen
"97,108,0",97,108,0,brightGreen
"37,53,0",37,53,0,brightGreen
"96,111,30",96,111,30,brightGreen
"49,62,1",49,62,1,brightGreen
"81,109,10",81,109,10,brightGreen
"111,139,45",111,139,45,brightGreen
"99,131,29",99,131,29,brightGreen
"112,137,20",112,137,20,brightGreen
"30,57,0",30,57,0,brightGreen
"92,108,27",92,108,27,brightGreen
"37,55,2",37,55,2,brightGreen
"115,138,16",115,138,16,brightGreen
"104,133,14",104,133,14,brightGreen
"23,52,0",23,52,0,brightGreen
"34,62,0",34,62,0,brightGreen
"31,60,4",31,60,4,brightGreen
"98,132,25",98,132,25,brightGreen
"119,130,2",119,130,2,brightGreen
"121,129,7",121,129,7,brightGreen
"35,54,1",35,54,1,brightGreen
"107,131,10",107,131,10,brightGreen
"104,129,11",104,129,11,brightGreen
"23,48,7",23,48,7,brightGreen
"91,126,16",91,126,16,brightGreen
"29,57,3",29,57,3,brightGreen
"105,112,40",105,112,40,brightGreen
"30,48,2",30,48,2,brightGreen
"75,92,2",75,92,2,brightGreen
"31,62,0",31,62,0,brightGreen
"60,91,14",60,91,14,brightGreen
"98,132,22",98,132,22,brightGreen
"32,63,0",32,63,0,brightGreen
"89,117,18",89,117,18,brightGreen
"77,105,18",77,105,18,brightGreen
"21,51,2",21,51,2,brightGreen
"131,150,22",131,150,22,brightGreen
"43,64,5",43,64,5,brightGreen
"115,128,10",115,128,10,brightGreen
"51,68,1",51,68,1,brightGreen
"101,120,26",101,120,26,brightGreen
"101,119,9",101,119,9,brightGreen
"109,131,22",109,131,22,brightGreen
"102,129,24",102,129,24,brightGreen
"112,131,11",112,131,11,brightGreen
"64,93,25",64,93,25,brightGreen
"40,70,9",40,70,9,brightGreen
"38,60,3",38,60,3,brightGreen
"106,120,7",106,120,7,brightGreen
"98,109,2",98,109,2,brightGreen
"109,136,20",109,136,20,brightGreen
"100,127,14",100,127,14,brightGreen
"104,127,11",104,127,11,brightGreen
"39,64,8",39,64,8,brightGreen
"24,54,3",24,54,3,brightGreen
"105,127,11",105,127,11,brightGreen
"21,47,2",21,47,2,brightGreen
"113,124,12",113,124,12,brightGreen
"97,108,0",97,108,0,brightGreen
"37,53,0",37,53,0,brightGreen
"96,111,30",96,111,30,brightGreen
"49,62,1",49,62,1,brightGreen
"81,109,10",81,109,10,brightGreen
"111,139,45",111,139,45,brightGreen
"99,131,29",99,131,29,brightGreen
"112,137,20",112,137,20,brightGreen
"30,57,0",30,57,0,brightGreen
"92,108,27",92,108,27,brightGreen
"37,55,2",37,55,2,brightGreen
"115,138,16",115,138,16,brightGreen
"104,133,14",104,133,14,brightGreen
"23,52,0",23,52,0,brightGreen
"34,62,0",34,62,0,brightGreen
"31,60,4",31,60,4,brightGreen
"98,132,25",98,132,25,brightGreen
"119,130,2",119,130,2,brightGreen
"121,129,7",121,129,7,brightGreen
"35,54,1",35,54,1,brightGreen
"107,131,10",107,131,10,brightGreen
"104,129,11",104,129,11,brightGreen
"23,48,7",23,48,7,brightGreen
"91,126,16",91,126,16,brightGreen
"29,57,3",29,57,3,brightGreen
"105,112,40",105,112,40,brightGreen
"30,48,2",30,48,2,brightGreen
"75,92,2",75,92,2,brightGreen
"31,62,0",31,62,0,brightGreen
"60,91,14",60,91,14,brightGreen
"98,132,22",98,132,22,brightGreen
"32,63,0",32,63,0,brightGreen
"89,117,18",89,117,18,brightGreen
"77,105,18",77,105,18,brightGreen
"21,51,2",21,51,2,brightGreen
"131,150,22",131,150,22,brightGreen
"75,102,22",75,102,22,brightGreen
"107,131,21",107,131,21,brightGreen
"104,133,18",104,133,18,brightGreen
"21,51,1",21,51,1,brightGreen
"101,129,15",101,129,15,brightGreen
"24,51,3",24,51,3,brightGreen
"124,139,10",124,139,10,brightGreen
"43,57,1",43,57,1,brightGreen
"33,53,0",33,53,0,brightGreen
